headline,article,date
They're killing people: Biden on COVID-19 misinformation on platforms like Facebook,"US President Joe Biden was asked by a reporter if he had a message for social media companies like Facebook regarding COVID-19 misinformation, to which he responded, ""They're killing people."" ""The only pandemic we have is among the unvaccinated,"" he added. A Facebook spokesperson said, ""More than 2 billion people have viewed authoritative information about COVID-19 and vaccines on Facebook.""","17 Jul 2021,Saturday"
No application received from SII for Covishield authorisation: EU medical body,"The European Medicines Agency (EMA) has said it has not received any application from the Serum Institute of India for authorisation of Covishield COVID-19 vaccine. ""For...Covishield to be evaluated for use in the European Union, the developer needs to submit a formal marketing authorisation application,"" EMA added. Indians are facing issues with travel to the EU due to the authorisation.","17 Jul 2021,Saturday"
US donates over 15 lakh COVID-19 vaccine doses to Sri Lanka,"The US has donated over 15 lakh doses of Moderna COVID-19 vaccine to Sri Lanka through WHO-led COVAX scheme. ""The vaccines will add momentum to Sri Lanka's ongoing efforts to protect its people from the pandemic through vaccination,"" the country's Health Minister Pavithra Devi Wanniarachchi said. Over 51 lakh people have received the first COVID-19 vaccine dose in Sri Lanka. ","17 Jul 2021,Saturday"
Fully vaccinated passengers to undergo mandatory COVID-19 test: Assam govt,"The Assam government has made COVID-19 testing compulsory for passengers who have received both doses of the vaccine and are entering the state by train and flight. It stated that this is being done as there have been instances of people testing COVID-19 positive even after receiving both doses. Earlier, the state had exempted fully vaccinated passengers from the test. ","16 Jul 2021,Friday"
Govt refutes reports of kids missing routine vaccinations amid COVID,"The Health Ministry on Friday dismissed reports claiming that children missed out on routine vaccinations amid COVID-19. The government said it worked with states, UTs to ensure children receive life-saving vaccines under Universal Immunisation Programme (UIP). The clarification came after UNICEF said India had the highest number of under-vaccinated or unvaccinated children in 2020 at 3.5 million.","16 Jul 2021,Friday"
Almost 40 cr COVID-19 vaccine doses administered in India: Govt,"The government informed that 39,93,62,514 doses of COVID-19 vaccines have been administered in India with more than 38.79 lakh doses being given on Friday. Eight states namely, Uttar Pradesh, Madhya Pradesh, Rajasthan, Tamil Nadu, Bihar, Gujarat, Karnataka and Maharashtra have vaccinated over 50 lakh beneficiaries in the 18-44 category with the first dose, the government added. ","16 Jul 2021,Friday"
Allow COVID-19 vaccination for those aged 12-18 yrs: Odisha CM to PM,"During a virtual meeting with Prime Minister Narendra Modi, Odisha CM Naveen Patnaik urged him to allow COVID-19 vaccination for those in the age group of 12-18 years. The request was made in view of a possible third wave of COVID-19 that might impact children. Patnaik also said, ""[Odisha's] vaccine wastage is among the lowest in the country.""","16 Jul 2021,Friday"
2 vaccine doses 95% effective in preventing COVID-19 deaths: ICMR study,"According to an ICMR study to check the effectiveness of vaccination in the second COVID-19 wave, two doses of vaccine were found to be 95% effective in preventing deaths, NITI Aayog's Dr VK Paul said. One dose of vaccine was able to reduce the mortality rate by 82%, he said. The study was conducted among 1,17,524 Tamil Nadu Police personnel.","16 Jul 2021,Friday"
"Malaysian man dresses up as T-Rex to get COVID vaccine, pics go viral","Pictures of a Malaysian man dressed as a T-Rex for his COVID-19 vaccination appointment recently went viral on social media. The man, who is a fitness expert, said he donned the dinosaur costume ""to bring cheer to the frontline workers and volunteers"" administering vaccine doses. He added that everyone played along and ""acted as if I were an ordinary person"".","16 Jul 2021,Friday"
Hungary to offer 3rd dose of COVID-19 vaccine from Aug: PM Orban ,"Hungarian PM Viktor Orban said the country will provide citizens with the option to receive a third COVID-19 vaccine dose from August 1. People will have to wait for ""four months after their second shot before getting the third dose unless a doctor decides otherwise"", Orban added. Hungary will make coronavirus vaccines mandatory for all healthcare workers, he further said. ","16 Jul 2021,Friday"
BBMP to conduct door-to-door survey to identify people who are not vaccinated,"Bruhat Bengaluru Mahanagara Palike (BBMP) will conduct door-to-door survey to identify people who have not been vaccinated against coronavirus, the civic body's Chief Commissioner Gaurav Gupta said. He added that it'll identify which area or community needs to be focused on.  He further said that they weren't getting as many vaccines as they expected, but they were managing it.","16 Jul 2021,Friday"
"Pant visited dentist on July 5, 6 in London, could've contracted COVID-19 there: Reports","Wicketkeeper-batsman Rishabh Pant visited dentist on July 5 and 6 and could've contracted coronavirus there, as per reports. The reports added that Pant received his second dose of coronavirus vaccine on July 7 and was tested COVID-19 positive on July 8. Pant had also gone to the Wembley Stadium in London on June 29 to attend England-Germany Euro 2020 match.","16 Jul 2021,Friday"
Delhi begins free pneumonia vaccination for infants at 600 centres,"Delhi government on Thursday began a free pneumonia vaccination drive in which infants will be administered the vaccine in 600 centres across the national capital. ""Till now, children of Delhi were administered vaccines for 12 diseases,"" CM Arvind Kejriwal said. ""Earlier, children under the age of five were gravely affected by pneumonia and there were even deaths recorded,"" he added.","16 Jul 2021,Friday"
"Moderna to join S&P 500, shares jump 6% in extended trade","COVID-19 vaccine maker Moderna Inc will join the S&P 500 index as of the start of trading on July 21, replacing Alexion Pharmaceuticals, S&P Dow Jones Indices said on Thursday. Moderna shares rose 6% in extended trade after the announcement. Moderna's stock has surged over 150% this year, elevating its market capitalisation to about $100 billion.","16 Jul 2021,Friday"
Canada may allow fully vaccinated travellers by early Sept: Trudeau,"Canadian PM Justin Trudeau has said that the country may permit fully vaccinated travellers from all countries by early September if the current trends in vaccination rate and public health conditions continue. About 47% of people aged 12 years or older in Canada have been fully vaccinated, while some 78% have received at least one dose of a COVID-19 vaccine. ","16 Jul 2021,Friday"
"5,000 vaccinated in 20 days through ‘vaccine on wheels’ drive in Pune","Nearly 5,000 people, including beggars, transgenders, senior citizens and those without official documents, were vaccinated against COVID-19 in 20 days under Pune Municipal Corporation's ""vaccine on wheels"" initiative. ""We...would like to ensure that every person, especially the most vulnerable people have easy access to the vaccine,"" PMC's outgoing Additional Commissioner Rubal Agarwal said. ","15 Jul 2021,Thursday"
French police fire tear gas as thousands protest against COVID rules,"Police fired tear gas to disperse protesters as thousands demonstrated across France over new coronavirus measures. The protesters are unhappy at the government's decision to require all healthcare workers to get vaccinated and for people to show a vaccine health pass to enter most public places, including restaurants. Those who're not vaccinated will have to show a negative test result.","15 Jul 2021,Thursday"
40.31 cr COVID-19 vaccine doses provided to states/UTs so far: Govt,"Over 40.31 crore COVID-19 vaccine doses have so far been provided to states/UTs in the country and more than 1.92 crore balance and unutilised jabs are still available with them, the health ministry said on Thursday. The ministry said 83,85,790 more doses are in the pipeline. ""Of this, the total consumption, including wastages, is 38,39,02,614 doses,"" the ministry added.","15 Jul 2021,Thursday"
Delhi HC refuses to hear plea to reduce Covishield dosage interval,"The Delhi High Court on Thursday refused to entertain a plea seeking reduction of the 12-16 week interval for the second dose of Covishield vaccine to eight weeks for persons over 50 years of age and those having comorbidities. The gap between two doses of the Covishield vaccine is presently 12 to 16 weeks.


","15 Jul 2021,Thursday"
"BCCI advised Team India players to avoid going to Wimbledon, Euro during break: Reports","BCCI Secretary Jay Shah had advised Team India players to avoid going to Wimbledon and Euro Championships in England during their 20-day break, PTI reported. Shah told them to avoid crowded places as Covishield, the vaccine administered to the team, only provided protection and not full immunity. A Team India player has tested positive for COVID-19 in England.","15 Jul 2021,Thursday"
Thousands protest in Greece against coronavirus vaccinations,"Over 5,000 anti-vaccine protesters took to the streets of Athens waving Greek flags and wooden crosses to protest the country's COVID-19 vaccination programme. Protesters were heard shouting, ""Take your vaccines and get out of here!"" and demanding resignation of PM Kyriakos Mitsotakis. The government had made COVID-19 vaccines mandatory for all healthcare workers and nursing home staff on Monday.","15 Jul 2021,Thursday"
21 COVID-19 vaccination centres to remain shut in Delhi on Thursday,"As many as 21 COVID-19 vaccination centres will remain shut in Delhi on Thursday amid a shortage of vaccines. ""Only 20% of Covaxin stock can be used for the first dose since the stock of the vaccine is limited and have irregular delivery cycles,"" the Delhi government said. The balance stock of Covaxin till July 14 morning stood at 2,46,340.","15 Jul 2021,Thursday"
Potential perfect storm about to happen: WHO as 22.7 mn children miss routine vaccines,"Referring to 22.7 million children missing routine vaccines in 2020, the WHO said, ""In 2021...we've potentially a perfect storm about to happen."" It added, ""We don't want to get to that perfect storm to be ringing the alarm bell. We're ringing it."" It stated, ""COVID-19 pandemic has led to major backsliding on childhood vaccination...taking us back more than a decade.""","15 Jul 2021,Thursday"
WHO warns of 'catastrophic' coronavirus surge in Middle East,"WHO has warned that COVID-19 surge in several Middle Eastern countries could've ""catastrophic consequences"". WHO blamed ""lack of adherence to public health and social measures"", ""low vaccine availability"" and ""new variants...most concerningly...Delta variant"" for the surge. COVID-19 cases have risen sharply in Libya, Iran, Iraq and Tunisia and are expected to rise in Lebanon and Morocco, WHO said.","15 Jul 2021,Thursday"
2 doses of vaccine 'vital' against Delta variant of COVID-19: EMA,"The European Medicines Agency has said both shots of a two-dose COVID-19 vaccine are vital for protection against the Delta variant. EMA said the Delta strain, first identified in India, ""may seriously hamper efforts to control the pandemic"". The European CDC has estimated that by August-end, the Delta variant will constitute 90% of all COVID-19 strains circulating in the EU.","14 Jul 2021,Wednesday"
Pointless statements: Health Minister on vaccine shortage claims,"While several states are complaining about COVID-19 vaccine shortage, Union Health Minister Mansukh Mandaviya on Wednesday claimed that ""pointless statements are being made to create panic"". He said states were informed about vaccine supplies in advance. ""Despite this, if we see long queues, then it's clear what the problem is and who is behind it,"" he tweeted in Hindi. ","14 Jul 2021,Wednesday"
"Ready to ship COVID-19 vaccines, awaiting green light from India: US",The US on Tuesday said it is ready to ship its COVID-19 vaccines expeditiously to India when it has the green light from the Centre which has said that it needs further time to review legal provisions related to accepting vaccine donations. The US has announced to share 80 million doses from its domestic stockpile with countries around the world.,"14 Jul 2021,Wednesday"
Germany won't make COVID-19 vaccination compulsory: Merkel,"Germany will not make vaccination against coronavirus compulsory, Chancellor Angela Merkel said. ""We don't intend to go down this road,"" she added. The comments came a day after France made vaccines mandatory for all healthcare workers. Merkel further said that the country is ""still a long way off"" from meeting the vaccine quota needed to stop ""aggressive"" new COVID-19 variants. ","14 Jul 2021,Wednesday"
Over 23.5 lakh people in Hyd have got first dose of COVID vaccine,"Hyderabad has administered at least one dose of the COVID-19 vaccine to more than 50% of its population. So far, 23,51,672 people in the city have received their first dose, as per CoWIN. Hyderabad has a total of 142 vaccination centres, out of which 70 are government centres. Over 70% of the people in Hyderabad have received Covishield. 
","14 Jul 2021,Wednesday"
Pune Hospital launches COVID-19 vaccination for transgender persons,"Pune's Sancheti Hospital has set up an exclusive vaccination centre for the transgender community from July 12 to July 15 in association with VaxAll and Robin Hood organisation. As many as 169 transgender persons were vaccinated on the first day at the hospital on Monday, as part of the 'COVID-19 vaccine initiative'. ","14 Jul 2021,Wednesday"
TikTok's 'sounds' feature helping anti-vaccine info spread: Report,"TikTok's 'sounds' feature that allows users to add another person's audio to their videos is being used to promote misleading and harmful content about COVID-19 vaccines, the UK-based Institute for Strategic Dialogue said. It analysed 124 videos using speech from four original anti-vaccine videos, two of which TikTok had removed. The 124 videos had more than 20 million views.
","14 Jul 2021,Wednesday"
1cr+ COVID-19 vaccines administered in Haryana till date: Anil Vij,"Haryana Health Minister Anil Vij said that more than one crore COVID-19 vaccines have been administered to the people of the state till date. According to the Ministry of Health and Family Welfare, there are more than 900 active COVID-19 cases in the state. Moreover, as many as 9,556 people have died in Haryana due to COVID-19.","13 Jul 2021,Tuesday"
"Most cases of vaccinated people infected by Delta variant are mild, asymptomatic: WHO","WHO Chief Scientist Dr Soumya Swaminathan has said that majority of fully vaccinated people infected by Delta variant of COVID-19 are asymptomatic or have mild symptoms. She added that hospitalisations are rising in some parts of the world where the Delta variant is spreading, but it's mostly in areas with low COVID-19 vaccine coverage.","13 Jul 2021,Tuesday"
"Received 1.5 lakh doses, will be used by tomorrow: Delhi minister","Claiming that vaccine availability is low, Delhi Health Minister Satyendar Jain on Tuesday said that the national capital received 1.5 lakh doses of Covishield coronavirus vaccine yesterday ""which will be used up by tomorrow"". ""We have to repeatedly shut centres,"" he added. While highlighting that Delhi's positivity rate has dropped to 0.1%, he urged people to follow precautions. ","13 Jul 2021,Tuesday"
Chinese drugmakers agree to supply 550 million vaccines to COVAX,"Chinese drugmakers Sinopharm and Sinovac have signed agreements to provide up to 550 million COVID-19 vaccine doses to COVAX by the first half of 2022, Global Alliance for Vaccines and Immunization (GAVI) said. The deals include 170 million Sinopharm vaccines and 380 million Sinovac vaccines. GAVI added 60 million Sinopharm doses, 50 million Sinovac doses will be made ""immediately available"".","13 Jul 2021,Tuesday"
Delta COVID-19 variant cases nearly tripled in 7 days: Turkey,"The number of cases of the Delta variant of COVID-19 in Turkey has increased to around 750 from 284 seven days ago, Health Minister Fahrettin Koca said. ""These increases have emerged more in places where...level of inoculations is low,"" he added. Koca further said that around 61% of Turkey's adult population had received at least one dose of a vaccine.","13 Jul 2021,Tuesday"
"Vietnam to mix doses of Pfizer, AstraZeneca COVID-19 vaccines","Vietnam will allow people to take a dose of the Pfizer-BioNTech COVID-19 vaccine after being vaccinated with the Oxford-AstraZeneca vaccine, the government said on Tuesday. According to preliminary results of a Spanish study, the Pfizer-AstraZeneca combination was highly safe and effective. Several countries, including Canada, Spain and South Korea, have approved such mixing of vaccines.","13 Jul 2021,Tuesday"
Modi govt is least concerned in protecting people's lives: Yechury,"Citing a slow vaccination rate, CPI(M) General Secretary Sitaram Yechury on Tuesday remarked that the Modi government is least concerned in protecting people's lives. ""[On] July 11, only 1.33 million vaccines were administered, lowest since May 30, says CoWin. To meet the target of all adults vaccinated by year-end, 8.65 million vaccines must be administered daily till then,"" Yechury tweeted. ","13 Jul 2021,Tuesday"
All healthcare workers must get vaccinated by Sept 15: France Prez,"French President Emmanuel Macron ordered all healthcare workers in France to get COVID-19 vaccine shots by September 15. Health workers wouldn't be allowed to go to work and wouldn't be paid if they're not vaccinated by then, Health Minister Olivier Veran said. ""We'll enforce restrictions on those who're not vaccinated rather than on everyone,"" Macron said in a televised address. ","13 Jul 2021,Tuesday"
Australia to give 15 lakh doses of AstraZeneca's vaccine to Vietnam,"Australia will donate 15 lakh doses of the Oxford-AstraZeneca COVID-19 vaccine to Vietnam, an official Vietnamese statement said on Tuesday. In addition to vaccine doses, Australia will also provide Vietnam A$40 million (over ₹222 crore) to help procure vaccines. Vietnam also said that it would receive an additional batch of 10 lakh doses of AstraZeneca's vaccine from Japan this month.","13 Jul 2021,Tuesday"
Nearly 10 lakh rush to get vaccinated after French Prez warning,"Nearly 10 lakh people rushed to get vaccinated against coronavirus in France on Monday, vaccine appointment app Doctolib said. This comes after French President Emmanuel Macron warned that healthcare workers who don't get vaccinated by September 15 will face curbs. The app, which is centralised in France, said that this was a daily record since the country started vaccinations.","13 Jul 2021,Tuesday"
Serum Institute to make Sputnik V from Sept; 30 crore doses expected per year,"The Russian Direct Investment Fund (RDIF) and Serum Institute of India (SII) on Tuesday announced that Sputnik V COVID-19 vaccine's production will commence at SII's facilities in September. ""The parties intend to produce over 300 million (30 crore) doses of the vaccine...per year,"" the RDIF said. SII has already received cell and vector samples from Russia's Gamaleya Centre, it added.","13 Jul 2021,Tuesday"
Panama approves Pfizer's COVID-19 vaccine for those aged 12 & above,"Panama's Health Ministry said it has approved emergency use of the Pfizer-BioNTech COVID-19 vaccine for children aged 12 and above. The vaccine was already authorised for use on adolescents aged 16 and over. The Central American country, which has reported over 4.1 lakh COVID-19 cases, has administered more than 17 lakh doses of vaccines by Pfizer-BioNTech and AstraZeneca since January.","13 Jul 2021,Tuesday"
Dr Reddy's says Sputnik V vaccine has reached 50 cities & towns; shares list,"Dr Reddy's Laboratories has issued a statement saying that the soft launch of Russia's Sputnik V COVID-19 vaccine has now reached 50 cities and towns in India. The vaccine, which was launched on a soft pilot basis on May 14, is currently available in Hyderabad, Mumbai, Delhi-NCR, Kolkata, Chennai, Ahmedabad, Bengaluru, Srinagar, Patna and several others, according to the statement. ","13 Jul 2021,Tuesday"
"Johnson & Johnson COVID-19 vaccine increases risk of rare nerve disorder, warns US FDA",US' Food and Drug Administration (FDA) added a warning for Johnson & Johnson’s COVID-19 vaccine saying data suggests there's an increased risk of a rare neurological disorder in six weeks after inoculation. It added that chances of developing Guillain-Barré Syndrome are low but they appear to be 3-5 times higher among recipients of J&J vaccine than among general population.,"13 Jul 2021,Tuesday"
Sputnik V vaccine's soft commercial launch in India not on hold: Dr Reddy's,"Dr Reddy's Laboratories on Tuesday clarified that neither the ongoing soft commercial launch of Sputnik V COVID-19 vaccine ""nor work towards its ramp-up in India have been put on hold"". ""Dr Reddy's will strengthen the commercial roll-out of Sputnik V in...coming weeks,"" it added. The vaccine's soft launch has reached over 50 cities and towns across India, it said further.","13 Jul 2021,Tuesday"
"Delhi runs out of Covishield, several vaccination centres to be shut today","Several government-run vaccination centres in Delhi will be closed on Tuesday because the city has exhausted its Covishield vaccine stock, Deputy CM Manish Sisodia said. ""The central government gives vaccines for a day or two, then we have to keep the vaccine centres closed for several days. Why is our country's...[vaccination] programme faltering even after so many days?"" Sisodia tweeted.","13 Jul 2021,Tuesday"
US donates 15 lakh doses of J&J COVID-19 vaccine to Nepal,"The US has donated 15.3 lakh doses of Johnson & Johnson COVID-19 vaccine to Nepal through the WHO-led COVAX scheme. ""These vaccines will not only save lives and help Nepal emerge from...pandemic, but they'll also help to recover economic losses and regain the opportunity to safely visit with our friends, families and neighbours,"" US Ambassador to Nepal Randy Berry said. ","13 Jul 2021,Tuesday"
It's a little bit of a dangerous trend: WHO official on mixing COVID-19 vaccines,"WHO chief scientist Soumya Swaminathan said that mixing of different COVID-19 vaccines was a ""little bit of a dangerous trend"". She said, ""We are in a data-free, evidence-free zone as far as mix and match (is concerned)."" She added, ""It'll be a chaotic situation...if citizens start deciding when and who'll be taking a second, a third and a fourth dose.""","12 Jul 2021,Monday"
"Vaccine certificate, COVID-19 -ve report must for visiting J&K's Anantnag","Authorities in Jammu and Kashmir's Anantnag district have made a COVID-19 negative report and vaccine certificate mandatory for visitors to tourist places to prevent the resurgence of coronavirus, officials said on Sunday. As per an official order, joint enforcement teams of civil and police administration have been constituted to ensure the observance of COVID-19 SOPs at tourist destinations.","12 Jul 2021,Monday"
311 Lok Sabha members fully vaccinated against COVID-19: Om Birla,"Ahead of the monsoon session of the Parliament, Lok Sabha Speaker Om Birla on Monday said that 311 members of the lower house have been fully vaccinated. ""Twenty three members have not administered any vaccine for some reason,"" Birla added. The Speaker further informed that all arrangements for conducting COVID-19 RT-PCR tests have been made in the Parliamentary complex.","12 Jul 2021,Monday"
Vaccination resumes at Mumbai's BKC Jumbo vaccination centre after 2 days,"Mumbai's BKC Jumbo vaccination centre on Monday resumed inoculation after two days of closure due to a shortage of vaccines. ""BKC can only provide 200 doses of Covishield and 200 doses of Covaxin daily. In that, 50 is through online registration and 150 for walk-in first come first serve basis,"" said Dr Rajesh Dere, Dean, BKC Jumbo COVID-19 vaccination centre. ","12 Jul 2021,Monday"
"Thailand to mix Sinovac, AstraZeneca vaccines to boost protection","Thailand will combine Sinovac's COVID-19 vaccine and AstraZeneca's vaccine under its national immunisation programme, Thai Health Minister Anutin Charnvirakul said. The move aims to increase protection against variants of COVID-19, he added. Notably, this comes after Thai Health Ministry reported that over 600 medical workers who received two doses of Sinovac's vaccine were infected with COVID-19.","12 Jul 2021,Monday"
10 Pune pvt hospitals opt out of COVID vaccination drive over policy changes,"Citing frequent changes to vaccine-procurement policies, over 10 small private hospitals in Pune decided to opt out of the COVID-19 vaccination drive. ""Several small and medium-sized hospitals sent a proposal...for procuring one lakh vaccine doses, which was rejected after Centre's guideline on purchase deals...came into effect,"" said Dr Sanjay Patil, Chairman of Hospital Board of India, Pune.","12 Jul 2021,Monday"
Ladakh 1st UT to vaccinate all citizens with 1st COVID-19 vaccine dose: MP,"Ladakh has become the first Union Territory to vaccinate all its residents and guest population with the first dose of the COVID-19 vaccine, BJP MP Jamyang Tsering Namgyal said. He added that this was made possible ""with the efforts of PM Narendra Modi, the Health Ministry, and all COVID-19 warriors"". There are currently 115 active COVID-19 cases in Ladakh.","11 Jul 2021,Sunday"
"Number of Cabinet Ministers up, not COVID-19 vaccines: Rahul","Commenting on the recent Union Cabinet expansion, Congress leader Rahul Gandhi on Sunday said, ""The number of ministers has increased, not [COVID-19] vaccines."" Rahul also shared a chart that indicated a ""shortfall"" of 5.1 million vaccinations on Saturday. On July 11, India reported 41,506 new COVID cases in the last 24 hours.","11 Jul 2021,Sunday"
 It's BJP's habit to put blame on others: Chhattisgarh CM Baghel ,"Taking a dig at the Centre, Chhattisgarh Chief Minister Bhupesh Baghel on Sunday said it was the ""BJP's habit"" to ""put blame on others"". ""An example is the recent Cabinet reshuffle. [COVID-19] vaccines were handled by [PM Narendra] Modi himself. When the vaccination was slammed, he put the blame on Harsh Vardhan and thus he was let go,"" said Baghel.","11 Jul 2021,Sunday"
"What's allowed, what's not allowed in Raj as govt allows more relaxations from today?","Rajasthan government has ended the weekend curfew, however, 11 pm to 5 am curfew will be imposed daily. Cinema halls and multiplexes can open at 50% capacity from 9 am to 8 pm for people with at least one COVID-19 vaccine dose. Shops and restaurants, where 60% of workers are vaccinated, can open till 8 pm and 10 pm respectively.","11 Jul 2021,Sunday"
Kerala's Sabarimala Temple to open for devotees from July 17 to 21,"Amid the COVID-19 situation, Kerala's Sabarimala Temple will open for its monthly puja from July 17 to 21, temple authorities said. Only 5,000 devotees who have booked their slots online will be allowed in the temple in a day. Only devotees with both COVID-19 vaccine doses or a negative RT-PCR test report issued within 48 hours will be permitted.","10 Jul 2021,Saturday"
Govt lists conditions in which pregnant women must avoid COVID vaccination,"After opening COVID-19 vaccination for pregnant women, the government has listed some conditions in which mothers-to-be must avoid vaccination. These are- severe allergic reaction to last vaccine dose, allergic reaction to injectable therapies, COVID-19 treated with monoclonal antibodies and diagnosed infection. Vaccination must be delayed by 12 weeks from COVID-19 diagnosis, it said.","10 Jul 2021,Saturday"
124 transgenders get COVID-19 vaccine in special drive in Navi Mumbai,"The Navi Mumbai Municipal Corporation (NMMC) on Friday held a special COVID-19 vaccination drive for transgenders. A total of 124 transgenders were vaccinated in a single day. In addition, 103 workers in a quarry in Turbhe were also vaccinated, NMMC PRO Mahendra Konde said. Mumbai on Friday reported 596 new cases of COVID-19.","10 Jul 2021,Saturday"
We have delivered enough doses to vaccinate 70% of adults: EU chief,"European Commission President Ursula von der Leyen said the European Union (EU) has hit its target of delivering ""enough vaccines to member states to fully vaccinate at least 70% of the adult population"". ""The EU has kept its word,"" she added. ""The member states must do everything...to ensure that vaccinations move forward. Only then will we...be safe,"" she further said.","10 Jul 2021,Saturday"
Decision on emergency use approval for India's Covaxin likely in 4-6 weeks: WHO,"The WHO is likely to take a decision on including Bharat Biotech's COVID-19 vaccine Covaxin in its  Emergency Use List (EUL) within four to six weeks, WHO chief scientist Soumya Swaminathan has said. ""We currently have six vaccines approved with EUL...We continue to look at Covaxin,"" said Swaminathan. Covaxin has shown 77.8% efficacy against symptomatic COVID-19 in phase 3 trials.","10 Jul 2021,Saturday"
Sputnik V to be administered for free at Gurugram govt facility from Jul 10,"The Gurugram health department will administer the Russian-made COVID-19 vaccine, Sputnik V, from July 10 at a government polyclinic in Sector-31 free of cost. Reportedly, Gurugram will be Haryana's first district to administer Sputnik V at its government facility. To maintain its temperature, deep freezers have been placed at the Sector-31 polyclinic and other locations, said an official. ","10 Jul 2021,Saturday"
Saudi Arabia authorises use of Moderna's COVID-19 vaccine,"Saudi Arabia's Food and Drug Authority on Friday approved Moderna's COVID-19 vaccine for use in the kingdom, the state news agency SPA said. Moderna is the fourth COVID-19 vaccine to get approval in the country after Pfizer-BioNTech, AstraZeneca and Johnson & Johnson. Saudi Arabia, which has reported over 4.9 lakh COVID-19 cases, has administered nearly two crore COVID-19 vaccine doses. ","10 Jul 2021,Saturday"
Cuba approves homegrown COVID-19 vaccine Abdala for emergency use,"Cuba has approved its homemade coronavirus vaccine Abdala for emergency use, making it the first Latin American country to develop a COVID-19 vaccine. Cuban health regulator, CECMED, approved the shot after the manufacturers last month announced that their three-dose vaccine is 92.28% effective against COVID-19. Cuba had begun immunising its population using Abdala in May even before the approval.","10 Jul 2021,Saturday"
Which EU countries have approved Covishield COVID-19 vaccine for travellers so far?,"As many as 13 European Union (EU) countries, Switzerland and Iceland have approved Serum Institute of India-manufactured Covishield COVID-19 vaccine for travellers so far. Belgium became the recent EU country to approve the vaccine. Other EU countries to have given approval are Austria, Bulgaria, Finland, Germany, Greece, Hungary, Ireland, Latvia, Netherlands, Slovenia, Spain and Sweden.","10 Jul 2021,Saturday"
Pregnant women must take vaccine as COVID may increase pre-term delivery chances: Govt,"Centre on Friday said pregnant women must take COVID-19 vaccine without any hesitation as scientific studies are now in favour of pregnant women getting vaccinated. ""For pregnant women, COVID-19 becomes a more serious disease as the physiology of pregnant women is different,"" NITI Aayog Member (health) Dr VK Paul said. ""COVID-19 may increase chances of premature delivery,"" he added.","10 Jul 2021,Saturday"
Govt working actively to make Moderna vaccine available in India: VK Paul,"The government is working actively with the vaccine manufacturer Moderna to see how its COVID-19 vaccine will be available in India, NITI Aayog Member (health) Dr VK Paul said. ""Moderna vaccine is under emergency use authorisation,"" he added. Moderna COVID-19 vaccine was approved for restricted emergency use in India in June, becoming the fourth COVID-19 vaccine approved in India.","10 Jul 2021,Saturday"
N Korea rejected AstraZeneca vaccine over potential side effects: Report,"North Korea rejected doses of the Oxford-AstraZeneca COVID-19 vaccine that were to be delivered for free under COVAX scheme due to concerns about potential side effects, a South Korean think tank reported. The reclusive country isn't keen on Chinese vaccines due to concerns about their efficacy, it said. North Korea has shown an interest in the Russian vaccine, it added.","09 Jul 2021,Friday"
No doses of Covishield vaccine left: Punjab CM to Centre ,Punjab Chief Minister Captain Amarinder Singh on Friday sought the Centre's intervention to increase the supply of COVID-19 vaccines as the state has run out of Covishield and left with a day's stock of Covaxin. The CM also pointed out that the state has already vaccinated nearly 83 lakh eligible people. ,"09 Jul 2021,Friday"
"US to send 20 lakh doses of COVID-19 vaccines to Nepal, Bhutan","The US will send 15 lakh doses of the Johnson & Johnson COVID-19 vaccine to Nepal and 5 lakh doses of Moderna's vaccine to Bhutan, a White House official said on Friday. The initiative is part of an effort by the US to compete with China to deepen its geopolitical influence through so-called vaccine diplomacy, Reuters reported.","09 Jul 2021,Friday"
CBI probe not needed in fake COVID-19 vaccination camp case: Cal HC,"The Calcutta High Court has dismissed a PIL seeking CBI probe into the alleged fake COVID-19 vaccination camp in Kolkata. The court said it is not required at this stage. The matter pertains to a fake vaccination camp set up by Debanjan Deb in Kolkata where more than 100 people, including TMC MP Mimi Chakraborty, were administered vaccines.","09 Jul 2021,Friday"
"Matter of 2 lives, pregnant women should get vaccinated: Govt","NITI Aayog member Dr VK Paul on Friday said it's important for pregnant women to get vaccinated against COVID-19, adding that ""it is a matter of two lives"". The government explained that coronavirus infection in pregnant women can increase certain risks, like pre-term delivery. Last week, the Centre revised its guidelines to allow pregnant women to get the coronavirus vaccine. ","09 Jul 2021,Friday"
What's allowed & what's not allowed as Punjab eases restrictions?,"Weekend and night curfews have been lifted in Punjab and gatherings of 100 persons indoors and 200 outdoors have been allowed from Monday. While schools will remain shut, colleges and coaching centres can operate if all staff and students received at least one COVID-19 vaccine dose. People vaccinated with at least one dose allowed at places like malls, bars, gyms.","09 Jul 2021,Friday"
Punjab ends curfews; malls open to those who took at least 1 COVID-19 vaccine dose,"Punjab government on Friday decided to lift weekend and night curfew restrictions in the state. The government also ordered opening of bars, cinema halls, restaurants and malls, among other places, subject to all eligible staff members and visitors having taken at least one dose of COVID-19 vaccine. It also allowed gatherings of 100 persons indoors and 200 outdoors from Monday.","09 Jul 2021,Friday"
